first_name,last_name,year,wins,losses,ties,school
Steve,Addazio,2011,9,4,0,Temple
Steve,Addazio,2012,4,7,0,Temple
Steve,Addazio,2013,7,6,0,Boston College
Steve,Addazio,2014,7,6,0,Boston College
Steve,Addazio,2015,3,9,0,Boston College
Steve,Addazio,2016,7,6,0,Boston College
Steve,Addazio,2017,7,6,0,Boston College
Steve,Addazio,2018,7,5,0,Boston College
Steve,Addazio,2019,6,6,0,Boston College
Steve,Addazio,2020,1,3,0,Colorado State
Steve,Addazio,2021,3,9,0,Colorado State
Tim,Albin,2021,3,9,0,Ohio
Tim,Albin,2022,0,0,0,Ohio
Terry,Allen,2000,4,7,0,Kansas
Terry,Allen,2001,2,6,0,Kansas
Tom,Allen,2016,0,1,0,Indiana
Tom,Allen,2017,5,7,0,Indiana
Tom,Allen,2018,5,7,0,Indiana
Tom,Allen,2019,8,5,0,Indiana
Tom,Allen,2020,6,2,0,Indiana
Tom,Allen,2021,2,10,0,Indiana
Tom,Allen,2022,0,0,0,Indiana
Barry,Alvarez,2000,9,4,0,Wisconsin
Barry,Alvarez,2001,5,7,0,Wisconsin
Barry,Alvarez,2002,8,6,0,Wisconsin
Barry,Alvarez,2003,7,6,0,Wisconsin
Barry,Alvarez,2004,9,3,0,Wisconsin
Barry,Alvarez,2005,10,3,0,Wisconsin
Barry,Alvarez,2012,0,1,0,Wisconsin
Barry,Alvarez,2014,1,0,0,Wisconsin
Chuck,Amato,2000,8,4,0,NC State
Chuck,Amato,2001,7,5,0,NC State
Chuck,Amato,2002,11,3,0,NC State
Chuck,Amato,2003,8,5,0,NC State
Chuck,Amato,2004,5,6,0,NC State
Chuck,Amato,2005,7,5,0,NC State
Chuck,Amato,2006,3,9,0,NC State
Tom,Amstutz,2001,10,2,0,Toledo
Tom,Amstutz,2002,9,5,0,Toledo
Tom,Amstutz,2003,8,4,0,Toledo
Tom,Amstutz,2004,9,4,0,Toledo
Tom,Amstutz,2005,9,3,0,Toledo
Tom,Amstutz,2006,5,7,0,Toledo
Tom,Amstutz,2007,5,7,0,Toledo
