team,stat_name,stat_value,season
Louisiana,rushingAttempts,429,2020
Syracuse,sacks,24,2020
Purdue,totalYards,2342,2020
Iowa State,games,12,2020
Middle Tennessee,fourthDownConversions,6,2020
South Florida,kickReturnTDs,0,2020
Georgia,kickReturns,20,2020
Texas State,fumblesRecovered,8,2020
South Alabama,sacks,12,2020
Arkansas State,netPassingYards,4008,2020
UNLV,tacklesForLoss,31,2020
Ohio State,fumblesRecovered,11,2020
Northwestern,rushingYards,1476,2020
Michigan,passCompletions,123,2020
San José State,thirdDowns,101,2020
Louisiana Tech,turnovers,16,2020
Florida Atlantic,passAttempts,232,2020
Navy,thirdDownConversions,47,2020
Ohio,passAttempts,54,2020
Akron,passCompletions,83,2020
Akron,puntReturnYards,-8,2020
Kansas,puntReturnTDs,0,2020
Kansas State,kickReturnYards,593,2020
Colorado,totalYards,2483,2020
Southern Mississippi,penalties,44,2020
Kent State,penalties,37,2020
San Diego State,thirdDownConversions,43,2020
Miami (OH),possessionTime,5171,2020
TCU,rushingAttempts,410,2020
Illinois,passingTDs,10,2020
Clemson,passesIntercepted,14,2020
Missouri,fumblesRecovered,5,2020
Penn State,penaltyYards,335,2020
Temple,penalties,36,2020
Iowa,rushingYards,1369,2020
Louisville,totalYards,4885,2020
Louisiana Tech,puntReturnTDs,0,2020
UTEP,rushingYards,1121,2020
UNLV,rushingYards,841,2020
Iowa State,fumblesRecovered,8,2020
Kentucky,interceptionTDs,3,2020
NC State,passesIntercepted,9,2020
San Diego State,interceptionTDs,2,2020
Florida State,thirdDownConversions,47,2020
Pittsburgh,totalYards,4200,2020
Louisiana Tech,tacklesForLoss,52,2020
Illinois,interceptions,4,2020
Marshall,fourthDowns,21,2020
Eastern Michigan,puntReturns,6,2020
UCLA,puntReturns,5,2020
Duke,passesIntercepted,9,2020
Louisville,interceptionYards,54,2020
Eastern Michigan,totalYards,2401,2020
Oklahoma,firstDowns,274,2020
SMU,games,10,2020
Florida,thirdDowns,141,2020
North Texas,kickReturns,35,2020
San Diego State,fourthDowns,18,2020
Houston,fumblesLost,6,2020
UAB,penaltyYards,676,2020
Utah,firstDowns,102,2020
UMass,passCompletions,54,2020
Wyoming,firstDowns,111,2020
Michigan State,penalties,48,2020
Miami,rushingAttempts,419,2020
Arkansas State,kickReturns,36,2020
Florida State,sacks,10,2020
Memphis,thirdDownConversions,77,2020
Virginia Tech,totalYards,4860,2020
Miami,passingTDs,26,2020
Georgia,netPassingYards,2496,2020
Kent State,sacks,11,2020
Navy,penalties,44,2020
Houston,sacks,24,2020
Wake Forest,puntReturnYards,96,2020
Kansas,rushingYards,944,2020
TCU,turnovers,14,2020
Florida State,kickReturnYards,604,2020
Pittsburgh,possessionTime,20552,2020
Texas State,puntReturns,17,2020
Western Michigan,rushingAttempts,236,2020
North Texas,kickReturnTDs,0,2020
New Mexico,totalYards,2756,2020
Nebraska,games,8,2020
Indiana,firstDowns,161,2020
Oklahoma,games,11,2020
West Virginia,fumblesRecovered,2,2020
Minnesota,kickReturnTDs,0,2020
Marshall,totalYards,3913,2020
Auburn,penalties,64,2020
Duke,fourthDowns,23,2020
UCF,possessionTime,16500,2020
Northern Illinois,interceptions,2,2020
