play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
    401212478102964404,401212478,7,2020,South Florida,Temple,14,17,62,3,11,Interception,1
401237034103946502,401237034,4,2020,Kentucky,Auburn,7,15,73,2,10,Rush,9
401237034103946503,401237034,4,2020,Kentucky,Auburn,7,15,64,3,1,Rush,3
401237034103946510,401237034,4,2020,Kentucky,Auburn,7,15,11,2,7,Rush,3
401237034103946501,401237034,4,2020,Kentucky,Auburn,7,15,73,1,10,Incompletion,1
401237034103946504,401237034,4,2020,Kentucky,Auburn,7,15,61,1,10,Incompletion,1
401237034103946504,401237034,4,2020,Kentucky,Auburn,7,15,61,1,10,Target,1
401237034103946506,401237034,4,2020,Kentucky,Auburn,7,15,45,1,10,Incompletion,1
401237034103946506,401237034,4,2020,Kentucky,Auburn,7,15,45,1,10,Target,1
401237034103946508,401237034,4,2020,Kentucky,Auburn,7,15,39,3,4,Completion,25
401237034103946508,401237034,4,2020,Kentucky,Auburn,7,15,39,3,4,Reception,25
401237034103946509,401237034,4,2020,Kentucky,Auburn,7,15,14,1,10,Completion,3
401237034103946509,401237034,4,2020,Kentucky,Auburn,7,15,14,1,10,Reception,3
401237034103989901,401237034,4,2020,Kentucky,Auburn,13,15,8,3,4,Completion,8
401237034103989901,401237034,4,2020,Kentucky,Auburn,13,15,8,3,4,Reception,8
401237034103989901,401237034,4,2020,Kentucky,Auburn,13,15,8,3,4,Touchdown,1
401237034103989901,401237034,4,2020,Kentucky,Auburn,13,15,8,3,4,Touchdown,1
401237034103946505,401237034,4,2020,Kentucky,Auburn,7,15,61,2,10,Completion,16
401237034103946505,401237034,4,2020,Kentucky,Auburn,7,15,61,2,10,Reception,16
401237034103946507,401237034,4,2020,Kentucky,Auburn,7,15,45,2,10,Completion,6
401237034103946507,401237034,4,2020,Kentucky,Auburn,7,15,45,2,10,Reception,6
401237034103854602,401237034,4,2020,Kentucky,Auburn,7,8,81,2,12,Completion,4
401237034103854602,401237034,4,2020,Kentucky,Auburn,7,8,81,2,12,Reception,4
401237034103854603,401237034,4,2020,Kentucky,Auburn,7,8,77,3,8,Incompletion,1
401237034103854603,401237034,4,2020,Kentucky,Auburn,7,8,77,3,8,Target,1
401237034104954003,401237034,4,2020,Kentucky,Auburn,13,29,73,1,10,Completion,8
401237034104954003,401237034,4,2020,Kentucky,Auburn,13,29,73,1,10,Reception,8
401237034104954008,401237034,4,2020,Kentucky,Auburn,13,29,41,2,7,Completion,12
401237034104954008,401237034,4,2020,Kentucky,Auburn,13,29,41,2,7,Reception,12
401237034104954009,401237034,4,2020,Kentucky,Auburn,13,29,29,1,10,Completion,16
401237034104954009,401237034,4,2020,Kentucky,Auburn,13,29,29,1,10,Reception,16
401237034101956909,401237034,4,2020,Kentucky,Auburn,7,8,56,3,5,Completion,10
401237034101956909,401237034,4,2020,Kentucky,Auburn,7,8,56,3,5,Reception,10
401237034101956912,401237034,4,2020,Kentucky,Auburn,7,8,41,2,5,Rush,2
401237034101956913,401237034,4,2020,Kentucky,Auburn,7,8,39,3,3,Rush,0
401237034101869207,401237034,4,2020,Kentucky,Auburn,0,0,57,1,10,Rush,7
401237034101869208,401237034,4,2020,Kentucky,Auburn,0,0,50,2,3,Rush,8
401237034101869209,401237034,4,2020,Kentucky,Auburn,0,0,42,1,10,Rush,0
401237034101935501,401237034,4,2020,Kentucky,Auburn,7,0,35,3,3,Rush,35
401237034101935501,401237034,4,2020,Kentucky,Auburn,7,0,35,3,3,Touchdown,1
401237034101869204,401237034,4,2020,Kentucky,Auburn,0,0,82,1,10,Completion,-1
401237034101869204,401237034,4,2020,Kentucky,Auburn,0,0,82,1,10,Reception,-1
401237034101869205,401237034,4,2020,Kentucky,Auburn,0,0,83,2,11,Completion,3
401237034101869205,401237034,4,2020,Kentucky,Auburn,0,0,83,2,11,Reception,3
401237034101869210,401237034,4,2020,Kentucky,Auburn,0,0,42,2,10,Completion,2
401237034101869210,401237034,4,2020,Kentucky,Auburn,0,0,42,2,10,Reception,2
401237034101869206,401237034,4,2020,Kentucky,Auburn,0,0,80,3,8,Completion,23
401237034101869206,401237034,4,2020,Kentucky,Auburn,0,0,80,3,8,Reception,23
401237034101869201,401237034,4,2020,Kentucky,Auburn,0,0,93,1,10,Rush,7
401237034101869203,401237034,4,2020,Kentucky,Auburn,0,0,84,3,1,Rush,2
401237034101869202,401237034,4,2020,Kentucky,Auburn,0,0,86,2,3,Rush,2
401237034103854601,401237034,4,2020,Kentucky,Auburn,7,8,79,1,10,Rush,-2
401237034103886002,401237034,4,2020,Kentucky,Auburn,7,8,98,2,10,Rush,-1
401237034103886003,401237034,4,2020,Kentucky,Auburn,7,8,99,3,11,Incompletion,1
401237034103886003,401237034,4,2020,Kentucky,Auburn,7,8,99,3,11,Target,1
401237034103886001,401237034,4,2020,Kentucky,Auburn,7,8,98,1,10,Rush,0
401237034104897807,401237034,4,2020,Kentucky,Auburn,13,22,70,4,5,Rush,-3
401237034104897805,401237034,4,2020,Kentucky,Auburn,13,22,72,2,7,Completion,2
401237034104897805,401237034,4,2020,Kentucky,Auburn,13,22,72,2,7,Reception,2
401237034104897804,401237034,4,2020,Kentucky,Auburn,13,22,75,1,10,Rush,3
401237034104897806,401237034,4,2020,Kentucky,Auburn,13,22,70,3,5,Incompletion,1
401237034104897806,401237034,4,2020,Kentucky,Auburn,13,22,70,3,5,Target,1
401237034104859502,401237034,4,2020,Kentucky,Auburn,13,15,73,2,9,Rush,5
401237034104875702,401237034,4,2020,Kentucky,Auburn,13,15,68,3,4,Rush,-2
401237034104875702,401237034,4,2020,Kentucky,Auburn,13,15,68,3,4,Fumble,1
401237034104859501,401237034,4,2020,Kentucky,Auburn,13,15,74,1,10,Rush,1
401237034104918801,401237034,4,2020,Kentucky,Auburn,13,29,71,1,10,Rush,1
401237034104918802,401237034,4,2020,Kentucky,Auburn,13,29,70,2,9,Incompletion,1
401237034104918802,401237034,4,2020,Kentucky,Auburn,13,29,70,2,9,Target,1
401237034104918803,401237034,4,2020,Kentucky,Auburn,13,29,70,3,9,Sack Taken,6
401237034104954005,401237034,4,2020,Kentucky,Auburn,13,29,65,3,2,Rush,6
401237034104954010,401237034,4,2020,Kentucky,Auburn,13,29,13,1,10,Rush,8
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Completion,4
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Reception,4
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Fumble,1
401237034104954004,401237034,4,2020,Kentucky,Auburn,13,29,65,2,2,Incompletion,1
401237034104954004,401237034,4,2020,Kentucky,Auburn,13,29,65,2,2,Target,1
401237034104954007,401237034,4,2020,Kentucky,Auburn,13,29,44,1,10,Completion,3
401237034104954007,401237034,4,2020,Kentucky,Auburn,13,29,44,1,10,Reception,3
401237034104954001,401237034,4,2020,Kentucky,Auburn,13,29,91,1,10,Completion,6
401237034104954001,401237034,4,2020,Kentucky,Auburn,13,29,91,1,10,Reception,6
401237034104954002,401237034,4,2020,Kentucky,Auburn,13,29,85,2,4,Completion,12
401237034104954002,401237034,4,2020,Kentucky,Auburn,13,29,85,2,4,Reception,12
401237034102957901,401237034,4,2020,Kentucky,Auburn,7,8,65,1,10,Rush,4
401237034102957902,401237034,4,2020,Kentucky,Auburn,7,8,61,2,6,Rush,6
401237034102957904,401237034,4,2020,Kentucky,Auburn,7,8,52,2,7,Incompletion,1
401237034102957905,401237034,4,2020,Kentucky,Auburn,7,8,52,3,7,Completion,40
401237034102957905,401237034,4,2020,Kentucky,Auburn,7,8,52,3,7,Reception,40
401237034102957907,401237034,4,2020,Kentucky,Auburn,7,8,8,2,6,Rush,5
401237034102988502,401237034,4,2020,Kentucky,Auburn,7,8,3,3,1,Rush,1
401237034102988503,401237034,4,2020,Kentucky,Auburn,7,8,2,1,2,Rush,1
401237034102957903,401237034,4,2020,Kentucky,Auburn,7,8,55,1,10,Rush,3
401237034102957906,401237034,4,2020,Kentucky,Auburn,7,8,12,1,10,Rush,4
401237034102996502,401237034,4,2020,Kentucky,Auburn,7,8,1,2,1,Rush,0
401237034102997302,401237034,4,2020,Kentucky,Auburn,7,8,1,3,1,Interception Thrown,1
