id,name,capacity,grass,city,state
4747,Abbott Memorial Alumni Stadium,10000,,Tuskegee,AL
6091,Abel Stadium,2500,,Lincoln,NE
3599,Ace W. Mumford Stadium,28500,False,Baton Rouge,LA
4436,Adamson Stadium,6500,,Brownsville,PA
3601,Aggie Memorial Stadium,28853,False,Las Cruces,NM
3602,Aggie Stadium,10743,False,Davis,CA
3603,Aggie Stadium,21500,True,Greensboro,NC
4110,A.J. McClung Stadium,0,,Columbus,GA
6283,A.J. Simeon Stadium,15000,,High Point,NC
3604,Alamodome,36582,False,San Antonio,TX
5867,Albany State University Coliseum,10000,,Albany,GA
6027,Albert J. H. Sloan - Alumni Stadium,8500,,Fairfield,AL
3653,Albertsons Stadium,36387,False,Boise,ID
3605,Alerus Center,12283,False,Grand Forks,ND
6177,Alexander Durley Sports Complex,5500,,Houston,TX
1027,Alex G. Spanos Stadium,11075,True,San Luis Obispo,CA
3607,Alfond Stadium,10000,False,Orono,ME
6501,Allegiant Stadium,65000,False,Las Vegas,NV
3609,Allgood-Bailey Stadium,8000,True,Rolla,MO
5363,Allianz Stadium,45500,True,Sydney,NSW
3610,Aloha Stadium,50000,False,Honolulu,HI
5780,Altra Federal Credit Union Stadium,5000,,Winona,MN
3611,Alumni Field (MA),1000,,Leicester,MA
5805,Alumni Field (OH),2600,,Bluffton,OH
6144,"Alumni Field (Westfield, MA)",4000,,Westfield,MA
3597,Alumni Memorial Field,10000,True,Lexington,VA
3612,Alumni Memorial Stadium (NC),6000,,Salisbury,NC
3615,Alumni Stadium,44500,False,Chestnut Hill,MA
3613,Alumni Stadium,7193,False,Dover,DE
3614,Alumni Stadium (IN),4000,,Hanover,IN
6042,Alumni Stadium (KY),6000,,Frankfort,KY
6128,Alumni Stadium (PA),1400,,Greenville,PA
6079,Alumni Stadium (VT),3500,,Middlebury,VT
5899,"Alumni Stadium (Worcester, MA)",2000,,Worcester,MA
5938,Al Whitehead Field at Greyhound Stadium,4000,,Portales,NM
3616,Amon G. Carter Stadium,46000,True,Fort Worth,TX
5820,Amos Alonzo Stagg Field,3500,,Chicago,IL
6124,Amos Alonzo Stagg Field (PA),3500,,Selinsgrove,PA
4432,Andre Reed Stadium,5600,,Kutztown,PA
3617,Andy Kerr Stadium,10221,False,Hamilton,NY
5904,Angell Field,2458,,Kalamazoo,MI
5221,ANZ Stadium,83500,True,Sydney,
3825,Apogee Stadium,30850,False,Denton,TX
3618,Apprentice Field,800,,Newport News,VA
6084,April Zorn Memorial Stadium,2600,,Monmouth,IL
3619,Arizona Stadium,50782,False,Tucson,AZ
5892,Armfield Athletic Center,2200,,Greensboro,NC
3620,Armstrong Stadium,12000,False,Hampton,VA
3621,Arnold Field (PA),2000,,Annville,PA
3622,Arrowhead Stadium,76416,True,Kansas City,MO
3623,Arthur J. Rooney Athletic Field,2200,False,Pittsburgh,PA
5816,Art Keller Field,2448,,Kenosha,WI
3624,Arute Field,5500,False,New Britain,CT
7082,Athletic Field Complex,1250,,La Plume,PA
3687,AT&T Stadium,100000,False,Arlington,TX
6274,Audi Field,20000,,Washington,DC
4724,Audrey J. Walton Stadium at Vernon Kennedy Field,12000,,Warrensburg,MO
6096,Austin E. Knowlton Athletics Complex,3000,,Oberlin,OH
3626,Autzen Stadium,54000,False,Eugene,OR
3504,Aviva Stadium,51700,True,Dublin,
5790,Bahlke Field,4000,,Alma,MI
3627,Bailey Memorial Stadium,6500,True,Clinton,SC
6104,Baker Stadium,3500,,Tacoma,WA
3628,Bank of America Stadium,73778,True,Charlotte,NC
3629,Barker-Lane Stadium,5500,False,Buies Creek,NC
4015,Barron Stadium,6500,,Rome,GA
4851,Bazemore-Hyder Stadium,10100,,Valdosta,GA
3630,BB&T Field,31500,False,Winston-Salem,NC
3631,BBVA Compass Stadium,22000,True,Houston,TX
5134,Bearcat Stadium,6500,,Maryville,MO
3632,Beaver Stadium,106572,True,University Park,PA
5802,Belhaven Bowl Stadium,1200,,Jackson,MS
3633,Ben Altamirano Field,3000,,Silver City,NM
980,Benedetti-Wehrli Stadium,4839,,Naperville,IL
3634,Ben Hill Griffin Stadium,88548,True,Gainesville,FL
4729,Benson Field at Yulman Stadium,30000,False,New Orleans,LA
5876,Bentley University Football Stadium,4800,,Waltham,MA
5812,Bernlohr Stadium,3000,,Bexley,OH
6043,Bethpage Federal Credit Union Stadium,6000,False,Brookville,NY
5835,Biddle Field,2577,,Carlisle,PA
6082,Big Cat Stadium,1400,,Morris,MN
3635,Bill Buxton Stadium,5000,,Indianola,IA
3636,Bill Snyder Family Football Stadium,50000,False,Manhattan,KS
6118,Birkelbach Field,12442,,Georgetown,TX
6212,Bishop Schmitt Field,2200,,Wheeling,WV
6092,Bishop Stadium,5000,,Rocky Mount,NC
5803,Bison Stadium,1000,,Bethany,WV
3639,Blackshear Stadium,15000,False,Prairie View,TX
3640,Blackstock Stadium,3000,,Greencastle,IN
3841,Blaik Field at Michie Stadium,38000,False,West Point,NY
