id,first_name,last_name,position,team_id
14,Ike,Anigbogu,C,12
25,Ron,Baker,G,20
47,Jabari,Bird,G,2
67,MarShon,Brooks,G,15
71,Lorenzo,Brown,G,28
90,Omri,Casspi,F,15
1,Alex,Abrines,G,21
119,Tyler,Davis,C,21
149,Keenan,Evans,G,9
179,Marcin,Gortat,C,13
1593,Andrew,Bogut,F,10
241,Amir,Johnson,C-F,23
392,Malachi,Richardson,G,29
281,Zach,Lofton,G,9
263,Kosta,Koufos,C,26
382,Billy,Preston,F,6
384,Zhou,Qi,F-C,11
388,Zach,Randolph,F,26
430,DJ,Stephens,G-F,15
437,Milos,Teodosic,G,13
448,Gary,Trent Jr.,G,25
494,Michael,Smith,,2
495,John,Morton,,6
496,Howard,Wright,,1
497,Michael,Ansley,,22
498,John,Salley,,9
499,Dan,Schayes,,17
500,Mark,Eaton,,29
501,Kevin,Johnson,,24
502,Danny,Ainge,,25
503,Kenny,Smith,,11
504,Randy,Breuer,,18
505,Herb,Williams,,7
506,Joe,Wolf,,8
507,Steve,Johnson,,10
508,Glen,Rice,,16
509,Greg,Foster,,30
510,Larry,Nance,,6
511,Duane,Ferrell,,1
512,Nick,Anderson,,22
513,Joe,Dumars,,9
514,Jay,Humphries,,17
515,Darrell,Griffith,,29
516,Dan,Majerle,,24
517,Tom,Chambers,,24
518,Alaa,Abdelnaby,,25
519,Adrian,Caldwell,,11
520,Vernon,Maxwell,,11
521,Doug,West,,18
522,Tony,Campbell,,18
523,Roy,Tarpley,,7
524,Anthony,Cook,,8
525,Todd,Lichti,,8
526,Tom,Tolbert,,10
527,Billy,Thompson,,16
528,Byron,Irvin,,30
529,Mark,Price,,6
530,Dominique,Wilkins,,1
531,Dennis,Scott,,22
532,Terry,Catledge,,22
533,Bill,Laimbeer,,9
534,William,Bedford,,9
535,Ricky,Pierce,,17
536,Blue,Edwards,,29
537,Walter,Palmer,,29
538,Mark,West,,24
539,Clifford,Robinson,,25
540,Hakeem,Olajuwon,,11
541,Richard,Coffey,,18
542,James,Donaldson,,7
543,Jerome,Lane,,8
544,Sarunas,Marciulionis,,10
545,Grant,Long,,16
546,Willie,Burton,,16
547,Mark,Alarie,,30
548,Winston,Bennett,,6
549,Doc,Rivers,,1
550,Tim,McCormick,,1
551,Scott,Skiles,,22
552,Dennis,Rodman,,9
553,Greg,Anderson,,17
554,Jeff,Malone,,29
555,Cedric,Ceballos,,24
556,Tim,Perry,,24
557,Buck,Williams,,25
558,Dave,Jamerson,,11
559,Scott,Brooks,,18
560,Rolando,Blackman,,7
561,Avery,Johnson,,8
562,Rod,Higgins,,10
563,Jon,Sundvold,,16
564,A.J.,English,,30
565,John,Battle,,1
566,Sam,Vincent,,22
567,Isiah,Thomas,,9
568,Brad,Lohaus,,17
