id,abbreviation,city,conference,full_name,name
1,ATL,Atlanta,East,Atlanta Hawks,Hawks
2,BOS,Boston,East,Boston Celtics,Celtics
3,BKN,Brooklyn,East,Brooklyn Nets,Nets
4,CHA,Charlotte,East,Charlotte Hornets,Hornets
5,CHI,Chicago,East,Chicago Bulls,Bulls
6,CLE,Cleveland,East,Cleveland Cavaliers,Cavaliers
7,DAL,Dallas,West,Dallas Mavericks,Mavericks
8,DEN,Denver,West,Denver Nuggets,Nuggets
9,DET,Detroit,East,Detroit Pistons,Pistons
10,GSW,Golden State,West,Golden State Warriors,Warriors
11,HOU,Houston,West,Houston Rockets,Rockets
12,IND,Indiana,East,Indiana Pacers,Pacers
13,LAC,LA,West,LA Clippers,Clippers
14,LAL,Los Angeles,West,Los Angeles Lakers,Lakers
15,MEM,Memphis,West,Memphis Grizzlies,Grizzlies
16,MIA,Miami,East,Miami Heat,Heat
17,MIL,Milwaukee,East,Milwaukee Bucks,Bucks
18,MIN,Minnesota,West,Minnesota Timberwolves,Timberwolves
19,NOP,New Orleans,West,New Orleans Pelicans,Pelicans
20,NYK,New York,East,New York Knicks,Knicks
21,OKC,Oklahoma City,West,Oklahoma City Thunder,Thunder
22,ORL,Orlando,East,Orlando Magic,Magic
23,PHI,Philadelphia,East,Philadelphia 76ers,76ers
24,PHX,Phoenix,West,Phoenix Suns,Suns
25,POR,Portland,West,Portland Trail Blazers,Trail Blazers
26,SAC,Sacramento,West,Sacramento Kings,Kings
27,SAS,San Antonio,West,San Antonio Spurs,Spurs
28,TOR,Toronto,East,Toronto Raptors,Raptors
29,UTA,Utah,West,Utah Jazz,Jazz
30,WAS,Washington,East,Washington Wizards,Wizards
