id,season,status,home_team_id,home_team_score,visitor_team_id,visitor_team_score
47179,2018,Final,2,126,4,94
48751,2018,Final,2,112,13,123
48739,2018,Final,23,117,8,110
48740,2018,Final,30,119,6,106
48746,2018,Final,26,102,16,96
48762,2018,Final,9,121,30,112
48745,2018,Final,19,122,18,117
48748,2018,Final,12,105,6,90
48749,2018,Final,1,120,4,129
48747,2018,Final,29,125,27,105
48752,2018,Final,5,125,30,134
48756,2018,Final,7,102,25,101
48760,2018,Final,23,143,14,120
48757,2018,Final,26,117,24,104
48755,2018,Final,17,83,22,103
48754,2018,Final,11,112,21,117
48759,2018,Final,10,120,16,118
48758,2018,Final,1,108,22,124
48766,2018,Final,11,120,7,104
48764,2018,Final,28,127,3,125
48770,2018,Final,1,117,14,113
48763,2018,Final,12,99,4,90
48765,2018,Final,5,99,17,112
48774,2018,Final,10,115,29,108
48772,2018,Final,15,107,27,108
48775,2018,Final,6,139,3,148
48771,2018,Final,23,109,2,112
48773,2018,Final,19,88,22,118
48781,2018,Final,18,121,11,111
48787,2018,Final,19,131,21,122
48776,2018,Final,12,97,17,106
48777,2018,Final,2,118,9,110
48778,2018,Final,20,111,23,126
48780,2018,Final,5,122,15,110
48793,2018,Final,17,98,2,97
48806,2018,Final,6,112,15,107
48796,2018,Final,22,109,5,110
48779,2018,Final,28,129,30,120
48782,2018,Final,7,101,16,112
48784,2018,Final,25,129,10,107
48791,2018,Final,23,106,16,102
48795,2018,Final,14,111,11,106
48834,2018,Final,4,113,11,118
48802,2018,Final,15,106,13,112
48829,2018,Final,19,110,23,111
48833,2018,Final,8,121,21,112
48844,2018,Final,14,125,19,119
48859,2018,Final,12,112,22,117
48845,2018,Final,12,122,18,115
48856,2018,Final,26,109,13,116
48872,2018,Final,9,112,28,107
48875,2018,Final,3,127,7,88
48887,2018,Final,10,95,2,128
48897,2018,Final,14,99,8,115
48890,2018,Final,30,132,7,123
48907,2018,Final,10,122,8,105
48903,2018,Final,16,126,6,110
48910,2018,Final,1,112,3,114
48937,2018,Final,30,100,22,90
48913,2018,Final,17,131,4,114
48919,2018,Final,15,105,22,97
48915,2018,Final,9,131,5,108
48925,2018,Final,30,121,26,115
48921,2018,Final,18,103,20,92
48932,2018,Final,5,107,14,123
48959,2018,Final,7,121,6,116
48947,2018,Final,29,120,18,100
48950,2018,Final,23,123,26,114
49001,2018,Final,24,98,9,118
48970,2018,Final,26,129,5,102
48977,2018,Final,21,107,16,116
48995,2018,Final,21,114,28,123
49007,2018,Final,11,111,27,105
49062,2018,Final,9,99,25,90
49013,2018,Final,5,83,29,114
49022,2018,Final,19,90,11,113
49026,2018,Final,22,119,23,98
49033,2018,Final,28,112,5,103
49052,2018,Final,27,116,6,110
49058,2018,Final,14,129,4,115
49070,2018,Final,19,102,14,130
49076,2018,Final,2,110,16,105
49085,2018,Final,27,117,1,111
49101,2018,Final,14,90,10,108
49098,2018,Final,25,116,15,89
49089,2018,Final,22,114,20,100
49113,2018,Final,8,119,25,110
49130,2018,Final,26,129,19,133
49104,2018,Final,22,149,1,113
49120,2018,Final,18,126,21,132
49133,2018,Final,6,97,4,124
49142,2018,Final,14,101,25,104
49143,2018,Final,1,134,12,135
48788,2018,Final,22,127,4,89
48783,2018,Final,8,120,26,118
